year,period,date,civilian_labor_force,labor_force_participation,employment_level,employment_pop_ratio,unemployment_level,unemployment_rate
2010,M01,2010-01-01,64.8,35.2,58.5,26.0,15046.0,9.8
2010,M02,2010-02-01,64.9,35.5,58.5,26.4,15113.0,9.8
2010,M03,2010-03-01,64.9,35.9,58.5,26.5,15202.0,9.9
2010,M04,2010-04-01,65.2,35.8,58.7,26.7,15325.0,9.9
2010,M05,2010-05-01,64.9,35.6,58.6,26.2,14849.0,9.6
2010,M06,2010-06-01,64.6,33.9,58.5,25.1,14474.0,9.4
2010,M07,2010-07-01,64.6,34.5,58.5,25.5,14512.0,9.4
2010,M08,2010-08-01,64.7,35.1,58.6,26.1,14648.0,9.5
2010,M09,2010-09-01,64.6,34.1,58.5,25.3,14579.0,9.5
2010,M10,2010-10-01,64.4,35.1,58.3,25.5,14516.0,9.4
2010,M11,2010-11-01,64.6,34.7,58.2,26.1,15081.0,9.8
2010,M12,2010-12-01,64.3,34.3,58.3,25.6,14348.0,9.3
2011,M01,2011-01-01,64.2,34.6,58.3,25.7,14013.0,9.1
2011,M02,2011-02-01,64.1,33.8,58.4,25.7,13820.0,9.0
2011,M03,2011-03-01,64.2,34.2,58.4,25.9,13737.0,9.0
2011,M04,2011-04-01,64.2,33.9,58.4,25.5,13957.0,9.1
2011,M05,2011-05-01,64.1,33.3,58.3,25.4,13855.0,9.0
2011,M06,2011-06-01,64.0,33.8,58.2,25.5,13962.0,9.1
2011,M07,2011-07-01,64.0,33.5,58.2,25.2,13763.0,9.0
2011,M08,2011-08-01,64.1,34.8,58.3,26.1,13818.0,9.0
2011,M09,2011-09-01,64.2,34.6,58.4,26.1,13948.0,9.0
2011,M10,2011-10-01,64.1,34.5,58.4,26.1,13594.0,8.8
2011,M11,2011-11-01,64.1,34.6,58.6,26.3,13302.0,8.6
2011,M12,2011-12-01,64.0,34.3,58.6,26.3,13093.0,8.5
2012,M01,2012-01-01,63.7,33.6,58.4,25.6,12797.0,8.3
2012,M02,2012-02-01,63.8,33.8,58.5,25.8,12813.0,8.3
2012,M03,2012-03-01,63.8,34.0,58.5,25.6,12713.0,8.2
2012,M04,2012-04-01,63.7,34.1,58.4,25.6,12646.0,8.2
2012,M05,2012-05-01,63.7,34.2,58.5,25.8,12660.0,8.2
2012,M06,2012-06-01,63.8,34.6,58.6,26.6,12692.0,8.2
2012,M07,2012-07-01,63.7,35.0,58.5,26.7,12656.0,8.2
2012,M08,2012-08-01,63.5,34.3,58.4,26.0,12471.0,8.1
2012,M09,2012-09-01,63.6,34.2,58.7,26.1,12115.0,7.8
2012,M10,2012-10-01,63.8,34.6,58.8,26.3,12124.0,7.8
2012,M11,2012-11-01,63.6,34.7,58.7,26.4,12005.0,7.7
2012,M12,2012-12-01,63.7,34.2,58.7,25.9,12298.0,7.9
2013,M01,2013-01-01,63.7,35.1,58.6,26.8,12471.0,8.0
2013,M02,2013-02-01,63.4,34.6,58.6,25.8,11950.0,7.7
2013,M03,2013-03-01,63.3,33.9,58.5,25.8,11689.0,7.5
2013,M04,2013-04-01,63.4,34.2,58.6,25.8,11760.0,7.6
2013,M05,2013-05-01,63.4,34.8,58.6,26.3,11654.0,7.5
2013,M06,2013-06-01,63.4,34.6,58.6,26.6,11751.0,7.5
2013,M07,2013-07-01,63.3,34.9,58.7,26.8,11335.0,7.3
2013,M08,2013-08-01,63.3,34.4,58.7,26.7,11279.0,7.2
2013,M09,2013-09-01,63.2,34.8,58.7,27.4,11270.0,7.2
2013,M10,2013-10-01,62.8,34.1,58.3,26.6,11136.0,7.2
2013,M11,2013-11-01,63.0,34.2,58.6,27.1,10787.0,6.9
2013,M12,2013-12-01,62.9,33.7,58.7,26.8,10404.0,6.7
2014,M01,2014-01-01,62.9,33.1,58.8,26.4,10202.0,6.6
2014,M02,2014-02-01,62.9,32.5,58.7,25.6,10349.0,6.7
2014,M03,2014-03-01,63.1,33.9,58.9,26.9,10380.0,6.7
2014,M04,2014-04-01,62.8,33.3,58.9,26.8,9702.0,6.2
2014,M05,2014-05-01,62.9,33.7,58.9,27.2,9859.0,6.3
